När stormades Bastiljen?,14 juni 1789,14 juli 1799,18 juni 1839,12 juni 1860
När dog Winston Churcill?,1965,1949,1953,1941
Vilka blev ledare av bolsjevikpartiet efter oktoberrevolutionen 191?7,Lenin och Trotskij, Trotskij och Stalin,Stalin och Lenin,Lenin och Putin
Vilket krig utspelade sig mellan 1861 och 1865?,Amerikanska inbördeskriget,Krimkriget,Spansk-Amerikanska kriget,Star Wars
Vem blev Nederländerna självständiga ifrån efter westfaliska freden 1648?,Spanien,Österrike,Frankrike,Portugal
Vilken stad seglade Marko Polo ifrån när han skulle till Kina på 1260-talet?,Venedig,Genua,Neapel,Sicilien
Vilket år mördades John Lennon?,1980,1981,1982,1983
När fick svenska kvinnor rösträtt?,1921,1934,1913,1918
Vem blev FNs generalsekreterare efter Kofi Annan 2007?,Ban Ki-Moon,Aung San Suu Kyi,Boutros Boutros-Ghali,Darth Vader
Vem räknas som Sveriges landsfader?,Gustav Vasa,Birger Jarl, Olof Skott,Carl Gustav
Vad kallades Gustav Vasa i folkmun?,Kung Gösta,Kung Gustav,Kung Erik,Store Vasa
Vad hette skeppet som Columbus reste med till Amerika?,Santa Maria,Isabella,Nina,Melinda
Under vilket krig blev Florence Nightingale känd?,Krimkriget,Boerkriget,Opiumkriget,Heligakriget
Vilken stad var påveresident under delar av 1300-talet?,Avignon,Rom,Poitiers,Wien
Ca 1/3 av europas befolkning dog av pesten mellan 1340-1740 hur många var det?,15 miljoner,20 miljoner,25 miljoner,10 miljoner
Vem var president i USA under grisbukten 1961?,Dwight D. Eisenhower,John F Kennedy,Richard Nixon,Frank Sinatra
Vad hände 19 feb. 1986?,Sovjetunionen skjuter upp rymdstationen Mir,Olof Palme blir mördad,En kärnkraftsolycka inträffar i Tjernobyl,Sverige vinner OS guld i Hockey
